 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   5.11.2022    Time:   9:39:43
 Units: L = cm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
       9.0000 -0.45000E+00  0.00000E+00 -0.45000E+00  0.00000E+00 -0.17462E+00 -0.12761E+01  0.51606E-01 -0.12771E+01  0.51606E-01 -0.34581E+01 -0.83907E+02 -0.87991E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42047E+02  0.13100E+01  0.32893E-01     81  0.00000E+00      0.000
      10.0000 -0.50000E-01  0.00000E+00 -0.50000E-01  0.00000E+00 -0.16609E+00 -0.13261E+01  0.51606E-01 -0.13271E+01  0.51606E-01 -0.36270E+01 -0.10251E+03 -0.96954E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.41928E+02  0.13600E+01  0.32893E-01    103  0.00000E+00      0.000
      11.0000 -0.32543E+00  0.69704E-02 -0.32543E+00  0.69704E-02 -0.16811E+00 -0.16516E+01  0.58576E-01 -0.16525E+01  0.58576E-01 -0.37938E+01 -0.87994E+02 -0.89413E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42080E+02  0.16900E+01  0.37466E-01    125  0.00000E+00      0.000
      12.0000  0.00000E+00  0.00000E+00 -0.35390E-06  0.00000E+00 -0.17178E+00 -0.16516E+01  0.58576E-01 -0.16524E+01  0.58576E-01 -0.39644E+01 -0.10677E+03 -0.99308E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.41908E+02  0.16900E+01  0.37553E-01    128  0.00000E+00      0.000
      13.0000  0.00000E+00  0.00000E+00  0.33737E-06  0.00000E+00 -0.17128E+00 -0.16516E+01  0.58576E-01 -0.16524E+01  0.58576E-01 -0.41363E+01 -0.11337E+03 -0.10523E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41736E+02  0.16900E+01  0.37553E-01    130  0.00000E+00      0.000
      14.0000 -0.70000E+00  0.00000E+00 -0.70000E+00  0.00000E+00 -0.16524E+00 -0.23516E+01  0.58576E-01 -0.23524E+01  0.58576E-01 -0.43047E+01 -0.72979E+02 -0.79000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42267E+02  0.23900E+01  0.37553E-01    152  0.00000E+00      0.000
      15.0000 -0.40000E-01  0.00000E+00 -0.40000E-01  0.00000E+00 -0.16686E+00 -0.23916E+01  0.58576E-01 -0.23924E+01  0.58576E-01 -0.44690E+01 -0.97857E+02 -0.92001E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42143E+02  0.24300E+01  0.37553E-01    174  0.00000E+00      0.000
      16.0000  0.00000E+00  0.00000E+00  0.37346E-06  0.00000E+00 -0.18279E+00 -0.23916E+01  0.58576E-01 -0.23924E+01  0.58576E-01 -0.46469E+01 -0.10789E+03 -0.99968E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.41965E+02  0.24300E+01  0.37553E-01    177  0.00000E+00      0.000
      17.0000  0.13819E-01  0.21066E-01  0.13820E-01  0.21066E-01 -0.18473E+00 -0.23778E+01  0.79642E-01 -0.23792E+01  0.79642E-01 -0.48321E+01 -0.11584E+03 -0.10665E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41756E+02  0.24300E+01  0.50846E-01    179  0.00000E+00      0.000
      18.0000  0.00000E+00  0.00000E+00 -0.24738E-06  0.00000E+00 -0.17319E+00 -0.23778E+01  0.79642E-01 -0.23786E+01  0.79642E-01 -0.50088E+01 -0.11964E+03 -0.11086E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41568E+02  0.24300E+01  0.51373E-01    181  0.00000E+00      0.000
      19.0000  0.00000E+00  0.00000E+00  0.24354E-06  0.00000E+00 -0.15480E+00 -0.23778E+01  0.79642E-01 -0.23786E+01  0.79642E-01 -0.51636E+01 -0.12274E+03 -0.11393E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41414E+02  0.24300E+01  0.51373E-01    182  0.00000E+00      0.000
      20.0000 -0.88000E+00  0.00000E+00 -0.88000E+00  0.00000E+00 -0.13644E+00 -0.32578E+01  0.79642E-01 -0.32586E+01  0.79642E-01 -0.53081E+01 -0.68752E+02 -0.76743E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42149E+02  0.33100E+01  0.51373E-01    204  0.00000E+00      0.000
      21.0000 -0.23000E+00  0.00000E+00 -0.23000E+00  0.00000E+00 -0.13503E+00 -0.34878E+01  0.79642E-01 -0.34886E+01  0.79642E-01 -0.54409E+01 -0.85522E+02 -0.84143E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42246E+02  0.35400E+01  0.51373E-01    226  0.00000E+00      0.000
      22.0000  0.16760E-01  0.25549E-01  0.16761E-01  0.25549E-01 -0.16428E+00 -0.34710E+01  0.10519E+00 -0.34722E+01  0.10519E+00 -0.55951E+01 -0.10504E+03 -0.96662E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42056E+02  0.35400E+01  0.67814E-01    229  0.00000E+00      0.000
      23.0000 -0.50000E-01  0.00000E+00 -0.50001E-01  0.00000E+00 -0.18673E+00 -0.35210E+01  0.10519E+00 -0.35222E+01  0.10519E+00 -0.57738E+01 -0.10660E+03 -0.10053E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41927E+02  0.35900E+01  0.67814E-01    251  0.00000E+00      0.000
      24.0000 -0.14286E+01  0.32690E-01 -0.14286E+01  0.32690E-01 -0.18878E+00 -0.49495E+01  0.13788E+00 -0.49507E+01  0.13788E+00 -0.59625E+01 -0.53469E+02 -0.59541E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43135E+02  0.50400E+01  0.89259E-01    273  0.00000E+00      0.000
      25.0000 -0.66927E+00  0.11082E-02 -0.66927E+00  0.11082E-02 -0.23338E+00 -0.56188E+01  0.13899E+00 -0.56200E+01  0.13899E+00 -0.61681E+01 -0.62658E+02 -0.63166E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43597E+02  0.57100E+01  0.89986E-01    295  0.00000E+00      0.000
      26.0000 -0.38000E+00  0.00000E+00 -0.38000E+00  0.00000E+00 -0.35798E+00 -0.59988E+01  0.13899E+00 -0.60000E+01  0.13899E+00 -0.64696E+01 -0.71033E+02 -0.69334E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43676E+02  0.60900E+01  0.89986E-01    317  0.00000E+00      0.000
      27.0000 -0.46000E+00  0.00000E+00 -0.46000E+00  0.00000E+00 -0.43478E+00 -0.64588E+01  0.13899E+00 -0.64600E+01  0.13899E+00 -0.68842E+01 -0.70042E+02 -0.69408E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43721E+02  0.65500E+01  0.89986E-01    320  0.00000E+00      0.000
      28.0000  0.15006E-01  0.22875E-01  0.15007E-01  0.22875E-01 -0.44687E+00 -0.64438E+01  0.16186E+00 -0.64456E+01  0.16186E+00 -0.73316E+01 -0.91144E+02 -0.83285E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43247E+02  0.65500E+01  0.10442E+00    322  0.00000E+00      0.000
      29.0000  0.00000E+00  0.00000E+00 -0.53481E-06  0.00000E+00 -0.41293E+00 -0.64438E+01  0.16186E+00 -0.64450E+01  0.16186E+00 -0.77553E+01 -0.99730E+02 -0.91571E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42812E+02  0.65500E+01  0.10499E+00    324  0.00000E+00      0.000
      30.0000  0.00000E+00  0.00000E+00  0.28964E-06  0.00000E+00 -0.35654E+00 -0.64438E+01  0.16186E+00 -0.64450E+01  0.16186E+00 -0.81118E+01 -0.10554E+03 -0.97192E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42456E+02  0.65500E+01  0.10499E+00    325  0.00000E+00      0.000
      31.0000  0.16174E-01  0.24656E-01  0.14941E-01  0.24656E-01 -0.30217E+00 -0.64276E+01  0.18652E+00 -0.64301E+01  0.18652E+00 -0.84140E+01 -0.11200E+03 -0.10282E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.42137E+02  0.65500E+01  0.11993E+00    326  0.00000E+00      0.000
      32.0000  0.00000E+00  0.00000E+00  0.12331E-02  0.00000E+00 -0.25331E+00 -0.64276E+01  0.18652E+00 -0.64288E+01  0.18652E+00 -0.86673E+01 -0.11673E+03 -0.10771E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41859E+02  0.65500E+01  0.12117E+00    327  0.00000E+00      0.000
      33.0000 -0.13000E+00  0.00000E+00 -0.13000E+00  0.00000E+00 -0.20909E+00 -0.65576E+01  0.18652E+00 -0.65588E+01  0.18652E+00 -0.88950E+01 -0.10654E+03 -0.10373E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41762E+02  0.66800E+01  0.12117E+00    349  0.00000E+00      0.000
      34.0000  0.00000E+00  0.00000E+00  0.41735E-06  0.00000E+00 -0.17622E+00 -0.65576E+01  0.18652E+00 -0.65588E+01  0.18652E+00 -0.90812E+01 -0.11729E+03 -0.10918E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41575E+02  0.66800E+01  0.12117E+00    352  0.00000E+00      0.000
      35.0000  0.00000E+00  0.00000E+00 -0.10675E-06  0.00000E+00 -0.15253E+00 -0.65576E+01  0.18652E+00 -0.65588E+01  0.18652E+00 -0.92393E+01 -0.12161E+03 -0.11303E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41417E+02  0.66800E+01  0.12117E+00    354  0.00000E+00      0.000
      36.0000 -0.10000E+00  0.00000E+00 -0.10000E+00  0.00000E+00 -0.13300E+00 -0.66576E+01  0.18652E+00 -0.66588E+01  0.18652E+00 -0.93805E+01 -0.11336E+03 -0.11008E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41376E+02  0.67800E+01  0.12117E+00    376  0.00000E+00      0.000
      37.0000  0.00000E+00  0.00000E+00 -0.11036E-06  0.00000E+00 -0.11771E+00 -0.66576E+01  0.18652E+00 -0.66588E+01  0.18652E+00 -0.95030E+01 -0.12301E+03 -0.11474E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41254E+02  0.67800E+01  0.12117E+00    379  0.00000E+00      0.000
      38.0000 -0.78000E+00  0.00000E+00 -0.78000E+00  0.00000E+00 -0.10600E+00 -0.74376E+01  0.18652E+00 -0.74388E+01  0.18652E+00 -0.96137E+01 -0.72499E+02 -0.80668E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.41923E+02  0.75600E+01  0.12117E+00    401  0.00000E+00      0.000
      39.0000 -0.21000E+00  0.00000E+00 -0.21000E+00  0.00000E+00 -0.10840E+00 -0.76476E+01  0.18652E+00 -0.76488E+01  0.18652E+00 -0.97189E+01 -0.88789E+02 -0.87463E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42028E+02  0.77700E+01  0.12117E+00    423  0.00000E+00      0.000
      40.0000 -0.38000E+00  0.00000E+00 -0.38000E+00  0.00000E+00 -0.13727E+00 -0.80276E+01  0.18652E+00 -0.80288E+01  0.18652E+00 -0.98420E+01 -0.81177E+02 -0.82593E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42285E+02  0.81500E+01  0.12117E+00    445  0.00000E+00      0.000
      41.0000 -0.45000E+00  0.00000E+00 -0.45000E+00  0.00000E+00 -0.17397E+00 -0.84776E+01  0.18652E+00 -0.84788E+01  0.18652E+00 -0.10004E+02 -0.76298E+02 -0.77803E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42573E+02  0.86000E+01  0.12117E+00    448  0.00000E+00      0.000
      42.0000 -0.60000E-01  0.00000E+00 -0.60000E-01  0.00000E+00 -0.21232E+00 -0.85376E+01  0.18652E+00 -0.85388E+01  0.18652E+00 -0.10199E+02 -0.94466E+02 -0.88847E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42437E+02  0.86600E+01  0.12117E+00    470  0.00000E+00      0.000
      43.0000  0.71932E-02  0.10965E-01  0.71937E-02  0.10965E-01 -0.23392E+00 -0.85305E+01  0.19749E+00 -0.85318E+01  0.19749E+00 -0.10428E+02 -0.10610E+03 -0.97745E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42193E+02  0.86600E+01  0.12822E+00    473  0.00000E+00      0.000
      44.0000 -0.20000E+00  0.00000E+00 -0.20000E+00  0.00000E+00 -0.23101E+00 -0.87305E+01  0.19749E+00 -0.87318E+01  0.19749E+00 -0.10663E+02 -0.94838E+02 -0.93602E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42159E+02  0.88600E+01  0.12822E+00    495  0.00000E+00      0.000
      45.0000  0.30974E-02  0.47217E-02  0.30970E-02  0.47217E-02 -0.21358E+00 -0.87274E+01  0.20221E+00 -0.87287E+01  0.20221E+00 -0.10882E+02 -0.10991E+03 -0.10188E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41932E+02  0.88600E+01  0.13126E+00    498  0.00000E+00      0.000
      46.0000 -0.90000E-01  0.00000E+00 -0.90000E-01  0.00000E+00 -0.19490E+00 -0.88174E+01  0.20221E+00 -0.88187E+01  0.20221E+00 -0.11085E+02 -0.10662E+03 -0.10221E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41819E+02  0.89500E+01  0.13126E+00    520  0.00000E+00      0.000
      47.0000 -0.68447E+00  0.84259E-02 -0.68447E+00  0.84259E-02 -0.17669E+00 -0.95018E+01  0.21063E+00 -0.95032E+01  0.21063E+00 -0.11270E+02 -0.73077E+02 -0.78741E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42311E+02  0.96400E+01  0.13679E+00    542  0.00000E+00      0.000
      48.0000 -0.90000E-01  0.00000E+00 -0.89999E-01  0.00000E+00 -0.17476E+00 -0.95918E+01  0.21063E+00 -0.95932E+01  0.21063E+00 -0.11443E+02 -0.94146E+02 -0.89668E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42228E+02  0.97300E+01  0.13679E+00    564  0.00000E+00      0.000
      49.0000  0.21820E-01  0.33262E-01  0.21820E-01  0.33262E-01 -0.19078E+00 -0.95700E+01  0.24390E+00 -0.95718E+01  0.24390E+00 -0.11629E+02 -0.10966E+03 -0.10052E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41995E+02  0.97300E+01  0.15819E+00    567  0.00000E+00      0.000
      50.0000 -0.49355E+00  0.98339E-02 -0.49355E+00  0.98339E-02 -0.19611E+00 -0.10064E+02  0.25373E+00 -0.10065E+02  0.25373E+00 -0.11824E+02 -0.80108E+02 -0.83982E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42284E+02  0.10230E+02  0.16464E+00    589  0.00000E+00      0.000
      51.0000  0.30646E-01  0.46716E-01  0.30646E-01  0.46716E-01 -0.19454E+00 -0.10033E+02  0.30045E+00 -0.10035E+02  0.30045E+00 -0.12019E+02 -0.10808E+03 -0.98946E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42021E+02  0.10230E+02  0.19483E+00    593  0.00000E+00      0.000
      52.0000 -0.68000E+00  0.00000E+00 -0.68000E+00  0.00000E+00 -0.19500E+00 -0.10713E+02  0.30045E+00 -0.10715E+02  0.30045E+00 -0.12214E+02 -0.71906E+02 -0.76673E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42506E+02  0.10910E+02  0.19483E+00    615  0.00000E+00      0.000
      53.0000 -0.20000E+00  0.00000E+00 -0.20000E+00  0.00000E+00 -0.20338E+00 -0.10913E+02  0.30045E+00 -0.10915E+02  0.30045E+00 -0.12412E+02 -0.85965E+02 -0.83588E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42508E+02  0.11110E+02  0.19483E+00    637  0.00000E+00      0.000
      54.0000  0.17931E-01  0.27333E-01  0.17930E-01  0.27333E-01 -0.22439E+00 -0.10895E+02  0.32778E+00 -0.10898E+02  0.32778E+00 -0.12630E+02 -0.10419E+03 -0.95605E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42251E+02  0.11110E+02  0.21242E+00    640  0.00000E+00      0.000
      55.0000  0.39713E-01  0.60537E-01  0.39712E-01  0.60537E-01 -0.22586E+00 -0.10855E+02  0.38832E+00 -0.10859E+02  0.38832E+00 -0.12856E+02 -0.11675E+03 -0.10572E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41941E+02  0.11110E+02  0.25130E+00    642  0.00000E+00      0.000
      56.0000  0.25793E-01  0.39319E-01  0.25794E-01  0.39319E-01 -0.20774E+00 -0.10829E+02  0.42764E+00 -0.10832E+02  0.42764E+00 -0.13070E+02 -0.12438E+03 -0.11300E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41652E+02  0.11110E+02  0.27762E+00    644  0.00000E+00      0.000
      57.0000  0.63954E-01  0.97491E-01  0.61045E-01  0.97491E-01 -0.17916E+00 -0.10766E+02  0.52513E+00 -0.10771E+02  0.52513E+00 -0.13249E+02 -0.13591E+03 -0.12116E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41369E+02  0.11110E+02  0.33867E+00    645  0.00000E+00      0.000
      58.0000 -0.24333E-01  0.69614E-01 -0.24333E-01  0.69614E-01 -0.14966E+00 -0.10790E+02  0.59474E+00 -0.10796E+02  0.59474E+00 -0.13412E+02 -0.13351E+03 -0.12402E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41161E+02  0.11180E+02  0.38434E+00    667  0.00000E+00      0.000
      59.0000  0.45304E-01  0.69061E-01  0.45304E-01  0.69061E-01 -0.12136E+00 -0.10745E+02  0.66380E+00 -0.10750E+02  0.66380E+00 -0.13542E+02 -0.14875E+03 -0.13266E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.40916E+02  0.11180E+02  0.42965E+00    670  0.00000E+00      0.000
      60.0000  0.44242E-01  0.67442E-01  0.44242E-01  0.67442E-01 -0.96804E-01 -0.10700E+02  0.73124E+00 -0.10706E+02  0.73124E+00 -0.13645E+02 -0.15796E+03 -0.13999E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.40701E+02  0.11180E+02  0.47393E+00    672  0.00000E+00      0.000
      61.0000  0.00000E+00  0.00000E+00  0.21397E-06  0.00000E+00 -0.75434E-01 -0.10700E+02  0.73124E+00 -0.10704E+02  0.73124E+00 -0.13725E+02 -0.15171E+03 -0.13946E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.40587E+02  0.11180E+02  0.47561E+00    674  0.00000E+00      0.000
      62.0000 -0.16307E-01  0.51362E-01 -0.16307E-01  0.51362E-01 -0.56629E-01 -0.10717E+02  0.78261E+00 -0.10721E+02  0.78261E+00 -0.13790E+02 -0.15104E+03 -0.14052E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.40487E+02  0.11230E+02  0.50931E+00    696  0.00000E+00      0.000
      63.0000 -0.81501E+00  0.22846E-01 -0.81501E+00  0.22846E-01 -0.41533E-01 -0.11532E+02  0.80545E+00 -0.11536E+02  0.80545E+00 -0.13838E+02 -0.77282E+02 -0.90592E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.41231E+02  0.12060E+02  0.52429E+00    718  0.00000E+00      0.000
      64.0000 -0.17100E+01  0.00000E+00 -0.17100E+01  0.00000E+00 -0.37744E-01 -0.13242E+02  0.80545E+00 -0.13246E+02  0.80545E+00 -0.13875E+02 -0.48675E+02 -0.54092E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42904E+02  0.13770E+02  0.52429E+00    740  0.00000E+00      0.000
      65.0000 -0.47437E-01  0.34394E-01 -0.47438E-01  0.34394E-01 -0.10947E+00 -0.13289E+02  0.83985E+00 -0.13293E+02  0.83985E+00 -0.13943E+02 -0.84320E+02 -0.78070E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42849E+02  0.13840E+02  0.54686E+00    762  0.00000E+00      0.000
      66.0000  0.60815E-01  0.92707E-01  0.60816E-01  0.92707E-01 -0.23254E+00 -0.13228E+02  0.93255E+00 -0.13233E+02  0.93255E+00 -0.14139E+02 -0.10541E+03 -0.94327E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42514E+02  0.13840E+02  0.60694E+00    765  0.00000E+00      0.000
      67.0000  0.69130E-01  0.10538E+00  0.69131E-01  0.10538E+00 -0.26715E+00 -0.13159E+02  0.10379E+01 -0.13164E+02  0.10379E+01 -0.14403E+02 -0.12172E+03 -0.10762E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.42083E+02  0.13840E+02  0.67576E+00    767  0.00000E+00      0.000
      68.0000  0.54477E-01  0.83044E-01  0.54477E-01  0.83044E-01 -0.24535E+00 -0.13105E+02  0.11210E+01 -0.13109E+02  0.11210E+01 -0.14656E+02 -0.13311E+03 -0.11784E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41681E+02  0.13840E+02  0.73079E+00    769  0.00000E+00      0.000
      69.0000  0.47749E-01  0.72788E-01  0.48262E-01  0.72788E-01 -0.20418E+00 -0.13057E+02  0.11938E+01 -0.13061E+02  0.11938E+01 -0.14860E+02 -0.14218E+03 -0.12585E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41346E+02  0.13840E+02  0.77906E+00    770  0.00000E+00      0.000
      70.0000  0.77842E-01  0.11866E+00  0.75548E-01  0.11866E+00 -0.16437E+00 -0.12979E+02  0.13124E+01 -0.12985E+02  0.13124E+01 -0.15024E+02 -0.15645E+03 -0.13548E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.41031E+02  0.13840E+02  0.85460E+00    771  0.00000E+00      0.000
      71.0000  0.86180E-01  0.13137E+00  0.85544E-01  0.13137E+00 -0.12779E+00 -0.12893E+02  0.14438E+01 -0.12900E+02  0.14438E+01 -0.15152E+02 -0.17754E+03 -0.14895E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.40698E+02  0.13840E+02  0.94015E+00    772  0.00000E+00      0.000
      72.0000  0.11739E+00  0.17895E+00  0.11501E+00  0.17895E+00 -0.95791E-01 -0.12775E+02  0.16227E+01 -0.12785E+02  0.16227E+01 -0.15248E+02 -0.21361E+03 -0.16746E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.40354E+02  0.13840E+02  0.10552E+01    773  0.00000E+00      0.000
      73.0000  0.12184E+00  0.18574E+00  0.12151E+00  0.18574E+00 -0.67580E-01 -0.12654E+02  0.18085E+01 -0.12663E+02  0.18085E+01 -0.15315E+02 -0.27320E+03 -0.19421E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.39985E+02  0.13840E+02  0.11767E+01    774  0.00000E+00      0.000
      74.0000 -0.10500E+01  0.00000E+00 -0.10500E+01  0.00000E+00 -0.41529E-01 -0.13704E+02  0.18085E+01 -0.13713E+02  0.18085E+01 -0.15368E+02 -0.74384E+02 -0.93842E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.40982E+02  0.14890E+02  0.11767E+01    798  0.00000E+00      0.000
      75.0000 -0.34927E-02  0.55651E-01 -0.34925E-02  0.55651E-01 -0.23077E-01 -0.13707E+02  0.18641E+01 -0.13717E+02  0.18641E+01 -0.15398E+02 -0.11836E+03 -0.11172E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.40900E+02  0.14930E+02  0.12132E+01    820  0.00000E+00      0.000
      76.0000  0.51635E-01  0.78713E-01  0.51636E-01  0.78713E-01 -0.25083E-01 -0.13655E+02  0.19428E+01 -0.13665E+02  0.19428E+01 -0.15422E+02 -0.13964E+03 -0.12585E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.40752E+02  0.14930E+02  0.12645E+01    823  0.00000E+00      0.000
      77.0000  0.45905E-01  0.13095E+00  0.45905E-01  0.13095E+00 -0.33180E-01 -0.13610E+02  0.20738E+01 -0.13621E+02  0.20738E+01 -0.15453E+02 -0.15683E+03 -0.13865E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.40570E+02  0.14970E+02  0.13491E+01    825  0.00000E+00      0.000
      78.0000  0.41780E-01  0.63688E-01  0.41780E-01  0.63688E-01 -0.36014E-01 -0.13568E+02  0.21375E+01 -0.13577E+02  0.21375E+01 -0.15489E+02 -0.16765E+03 -0.14759E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.40395E+02  0.14970E+02  0.13926E+01    827  0.00000E+00      0.000
