 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   5.11.2022    Time:   9:39:43
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   30     29.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   31     30.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   32     31.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   33     32.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   34     33.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   35     34.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   36     35.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   37     36.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   38     37.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   39     38.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   40     39.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   41     40.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   42     41.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   43     42.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   44     43.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   45     44.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   46     45.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   47     46.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   48     47.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   49     48.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   50     49.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   51     50.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   52     51.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   53     52.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   54     53.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   55     54.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   56     55.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   57     56.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   58     57.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   59     58.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   60     59.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   61     60.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   62     61.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   63     62.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   64     63.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   65     64.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   66     65.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   67     66.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   68     67.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   69     68.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   70     69.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   71     70.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   72     71.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   73     72.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   74     73.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   75     74.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   76     75.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   77     76.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   78     77.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   79     78.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   80     79.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   81     80.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   82     81.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   83     82.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   84     83.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   85     84.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   86     85.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   87     86.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   88     87.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   89     88.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   90     89.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   91     90.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   92     91.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   93     92.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   94     93.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   95     94.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   96     95.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   97     96.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   98     97.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
   99     98.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  100     99.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  101    100.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  102    101.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  103    102.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  104    103.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  105    104.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  106    105.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  107    106.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  108    107.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  109    108.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  110    109.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  111    110.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  112    111.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  113    112.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  114    113.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  115    114.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  116    115.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  117    116.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  118    117.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  119    118.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  120    119.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  121    120.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  122    121.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  123    122.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  124    123.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  125    124.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  126    125.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  127    126.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  128    127.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  129    128.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  130    129.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  131    130.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  132    131.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  133    132.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  134    133.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  135    134.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  136    135.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  137    136.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  138    137.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  139    138.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  140    139.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  141    140.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  142    141.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  143    142.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  144    143.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  145    144.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  146    145.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  147    146.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  148    147.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  149    148.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  150    149.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
  151    150.00     0.032     0.390       0.0   0.987E+02     1.000     0.000     1.000     1.000     1.000
end
