 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   5.11.2022    Time:   9:39:43
 Units: L = cm   , T = days , M = mmol 



                               Node( 11)                      Node( 31)                      Node( 61)                      Node( 91)

         time            h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp  
         23.0000     -100.24  0.2310   20.000        -89.75  0.2395   20.000        -75.34  0.2531   20.000        -55.63  0.2767   20.000
         24.0000      -59.53  0.2716   20.000        -73.50  0.2551   20.000        -74.45  0.2540   20.000        -55.62  0.2767   20.000
         25.0000      -63.12  0.2669   20.000        -65.25  0.2642   20.000        -66.89  0.2623   20.000        -54.17  0.2787   20.000
         26.0000      -69.24  0.2597   20.000        -66.69  0.2625   20.000        -63.41  0.2666   20.000        -51.86  0.2823   20.000
         27.0000      -69.42  0.2595   20.000        -67.65  0.2614   20.000        -63.00  0.2671   20.000        -50.92  0.2837   20.000
         28.0000      -82.63  0.2458   20.000        -73.23  0.2555   20.000        -64.27  0.2655   20.000        -50.97  0.2836   20.000
         29.0000      -91.05  0.2382   20.000        -79.20  0.2489   20.000        -66.78  0.2624   20.000        -51.71  0.2825   20.000
         30.0000      -96.68  0.2334   20.000        -83.91  0.2446   20.000        -69.51  0.2594   20.000        -52.74  0.2809   20.000
         31.0000     -102.28  0.2295   20.000        -88.26  0.2408   20.000        -72.06  0.2566   20.000        -53.72  0.2794   20.000
         32.0000     -107.28  0.2259   20.000        -92.16  0.2373   20.000        -74.39  0.2541   20.000        -54.62  0.2780   20.000
         33.0000     -103.90  0.2284   20.000        -94.36  0.2354   20.000        -76.50  0.2518   20.000        -55.46  0.2769   20.000
         34.0000     -108.68  0.2249   20.000        -96.00  0.2340   20.000        -77.89  0.2503   20.000        -56.08  0.2761   20.000
         35.0000     -112.58  0.2221   20.000        -98.36  0.2323   20.000        -79.09  0.2490   20.000        -56.55  0.2755   20.000
         36.0000     -110.25  0.2238   20.000        -99.73  0.2313   20.000        -80.19  0.2480   20.000        -56.95  0.2750   20.000
         37.0000     -114.25  0.2209   20.000       -100.88  0.2305   20.000        -80.99  0.2473   20.000        -57.27  0.2746   20.000
         38.0000      -80.98  0.2473   20.000        -92.88  0.2367   20.000        -81.18  0.2471   20.000        -57.50  0.2743   20.000
         39.0000      -87.30  0.2417   20.000        -86.24  0.2426   20.000        -78.58  0.2496   20.000        -57.26  0.2746   20.000
         40.0000      -82.73  0.2457   20.000        -83.59  0.2450   20.000        -76.16  0.2522   20.000        -56.51  0.2755   20.000
         41.0000      -77.90  0.2504   20.000        -79.62  0.2485   20.000        -73.94  0.2546   20.000        -55.72  0.2766   20.000
         42.0000      -88.43  0.2407   20.000        -81.16  0.2471   20.000        -72.24  0.2565   20.000        -54.95  0.2776   20.000
         43.0000      -97.15  0.2332   20.000        -85.64  0.2432   20.000        -72.74  0.2559   20.000        -54.68  0.2779   20.000
         44.0000      -93.78  0.2359   20.000        -87.78  0.2412   20.000        -74.01  0.2545   20.000        -54.88  0.2777   20.000
         45.0000     -101.32  0.2302   20.000        -90.02  0.2393   20.000        -75.08  0.2534   20.000        -55.25  0.2772   20.000
         46.0000     -102.14  0.2296   20.000        -92.42  0.2371   20.000        -76.26  0.2521   20.000        -55.64  0.2767   20.000
         47.0000      -78.99  0.2492   20.000        -86.34  0.2425   20.000        -76.75  0.2515   20.000        -55.99  0.2762   20.000
         48.0000      -89.31  0.2399   20.000        -83.79  0.2448   20.000        -74.99  0.2535   20.000        -55.85  0.2764   20.000
         49.0000      -99.86  0.2312   20.000        -87.81  0.2412   20.000        -74.72  0.2538   20.000        -55.52  0.2768   20.000
         50.0000      -84.38  0.2443   20.000        -86.39  0.2425   20.000        -75.25  0.2532   20.000        -55.51  0.2768   20.000
         51.0000      -98.19  0.2324   20.000        -87.34  0.2417   20.000        -74.97  0.2535   20.000        -55.52  0.2768   20.000
         52.0000      -76.91  0.2515   20.000        -82.98  0.2455   20.000        -74.92  0.2535   20.000        -55.52  0.2768   20.000
         53.0000      -83.41  0.2451   20.000        -80.22  0.2480   20.000        -73.07  0.2556   20.000        -55.22  0.2772   20.000
         54.0000      -94.91  0.2349   20.000        -84.19  0.2445   20.000        -72.71  0.2560   20.000        -54.83  0.2777   20.000
         55.0000     -105.02  0.2276   20.000        -89.50  0.2397   20.000        -74.00  0.2546   20.000        -54.93  0.2776   20.000
         56.0000     -112.36  0.2222   20.000        -94.53  0.2352   20.000        -75.93  0.2524   20.000        -55.40  0.2770   20.000
         57.0000     -120.22  0.2175   20.000        -99.13  0.2318   20.000        -77.98  0.2502   20.000        -56.03  0.2762   20.000
         58.0000     -123.99  0.2152   20.000       -103.29  0.2288   20.000        -80.00  0.2482   20.000        -56.67  0.2753   20.000
         59.0000     -131.73  0.2108   20.000       -106.98  0.2261   20.000        -81.82  0.2465   20.000        -57.27  0.2745   20.000
         60.0000     -139.03  0.2067   20.000       -110.82  0.2234   20.000        -83.50  0.2451   20.000        -57.81  0.2738   20.000
         61.0000     -139.28  0.2064   20.000       -113.77  0.2212   20.000        -85.02  0.2437   20.000        -58.29  0.2732   20.000
         62.0000     -140.60  0.2059   20.000       -115.92  0.2199   20.000        -86.34  0.2425   20.000        -58.72  0.2727   20.000
         63.0000      -91.01  0.2384   20.000       -108.03  0.2254   20.000        -87.09  0.2419   20.000        -59.05  0.2722   20.000
         64.0000      -53.80  0.2792   20.000        -71.59  0.2572   20.000        -82.47  0.2460   20.000        -58.93  0.2724   20.000
         65.0000      -77.48  0.2507   20.000        -71.63  0.2571   20.000        -70.72  0.2581   20.000        -56.44  0.2756   20.000
         66.0000      -93.46  0.2361   20.000        -79.75  0.2484   20.000        -69.50  0.2595   20.000        -54.24  0.2786   20.000
         67.0000     -106.69  0.2263   20.000        -87.50  0.2415   20.000        -71.66  0.2571   20.000        -54.06  0.2789   20.000
         68.0000     -116.97  0.2192   20.000        -94.28  0.2354   20.000        -74.50  0.2540   20.000        -54.71  0.2779   20.000
         69.0000     -125.01  0.2146   20.000        -99.80  0.2312   20.000        -77.20  0.2510   20.000        -55.58  0.2768   20.000
         70.0000     -134.04  0.2095   20.000       -105.04  0.2275   20.000        -79.70  0.2484   20.000        -56.41  0.2757   20.000
         71.0000     -146.90  0.2031   20.000       -110.49  0.2236   20.000        -82.06  0.2463   20.000        -57.19  0.2747   20.000
         72.0000     -163.08  0.1957   20.000       -116.33  0.2196   20.000        -84.30  0.2443   20.000        -57.89  0.2737   20.000
         73.0000     -185.51  0.1874   20.000       -122.71  0.2159   20.000        -86.47  0.2424   20.000        -58.53  0.2729   20.000
         74.0000      -94.05  0.2357   20.000       -118.52  0.2184   20.000        -88.46  0.2406   20.000        -59.14  0.2721   20.000
         75.0000     -110.96  0.2233   20.000       -105.52  0.2272   20.000        -87.90  0.2411   20.000        -59.48  0.2717   20.000
         76.0000     -124.84  0.2147   20.000       -107.18  0.2260   20.000        -86.40  0.2425   20.000        -59.31  0.2719   20.000
         77.0000     -137.51  0.2076   20.000       -111.16  0.2232   20.000        -86.16  0.2427   20.000        -59.11  0.2722   20.000
         78.0000     -146.61  0.2031   20.000       -115.48  0.2201   20.000        -86.73  0.2422   20.000        -59.09  0.2722   20.000
         79.0000     -159.42  0.1974   20.000       -119.79  0.2176   20.000        -87.73  0.2413   20.000        -59.25  0.2720   20.000
         80.0000     -186.70  0.1869   20.000       -125.57  0.2143   20.000        -89.01  0.2402   20.000        -59.51  0.2716   20.000
         81.0000     -109.21  0.2246   20.000       -124.95  0.2147   20.000        -90.34  0.2390   20.000        -59.80  0.2713   20.000
         82.0000      -36.74  0.3077   20.000        -52.08  0.2820   20.000        -83.69  0.2449   20.000        -59.89  0.2711   20.000
         83.0000      -62.27  0.2680   20.000        -57.82  0.2738   20.000        -59.41  0.2719   20.000        -53.59  0.2796   20.000
         84.0000      -78.71  0.2494   20.000        -67.73  0.2613   20.000        -60.00  0.2711   20.000        -49.84  0.2855   20.000
         85.0000      -91.90  0.2376   20.000        -76.48  0.2518   20.000        -63.80  0.2661   20.000        -50.28  0.2847   20.000
         86.0000     -105.39  0.2273   20.000        -84.70  0.2440   20.000        -67.92  0.2611   20.000        -51.73  0.2825   20.000
         87.0000     -119.67  0.2177   20.000        -92.46  0.2370   20.000        -71.89  0.2568   20.000        -53.27  0.2801   20.000
         88.0000     -137.54  0.2075   20.000       -100.51  0.2308   20.000        -75.69  0.2527   20.000        -54.68  0.2779   20.000
         89.0000     -158.94  0.1976   20.000       -108.59  0.2250   20.000        -79.20  0.2489   20.000        -55.94  0.2763   20.000
         90.0000     -187.86  0.1865   20.000       -117.03  0.2192   20.000        -82.49  0.2460   20.000        -57.05  0.2748   20.000
         91.0000     -216.08  0.1777   20.000       -125.05  0.2146   20.000        -85.51  0.2433   20.000        -58.01  0.2736   20.000
         92.0000     -244.37  0.1700   20.000       -132.39  0.2104   20.000        -88.21  0.2409   20.000        -58.84  0.2725   20.000
         93.0000     -266.55  0.1652   20.000       -138.90  0.2067   20.000        -90.57  0.2388   20.000        -59.54  0.2716   20.000
         94.0000     -294.33  0.1593   20.000       -145.15  0.2039   20.000        -92.71  0.2369   20.000        -60.15  0.2708   20.000
         95.0000      -65.56  0.2637   20.000       -131.10  0.2111   20.000        -94.59  0.2352   20.000        -60.70  0.2701   20.000
         96.0000      -56.77  0.2752   20.000        -73.22  0.2554   20.000        -88.47  0.2406   20.000        -60.87  0.2699   20.000
         97.0000      -93.28  0.2363   20.000        -78.58  0.2496   20.000        -76.13  0.2523   20.000        -58.50  0.2729   20.000
         98.0000      -54.31  0.2785   20.000        -66.03  0.2632   20.000        -71.35  0.2574   20.000        -55.84  0.2764   20.000
         99.0000      -63.01  0.2670   20.000        -62.70  0.2675   20.000        -63.20  0.2669   20.000        -52.84  0.2808   20.000
        100.0000      -69.37  0.2596   20.000        -65.90  0.2633   20.000        -61.26  0.2694   20.000        -50.45  0.2844   20.000
        101.0000      -87.68  0.2413   20.000        -73.89  0.2547   20.000        -63.24  0.2668   20.000        -50.30  0.2847   20.000
        102.0000      -94.64  0.2351   20.000        -81.39  0.2469   20.000        -66.87  0.2623   20.000        -51.40  0.2830   20.000
        103.0000      -99.34  0.2316   20.000        -86.16  0.2427   20.000        -70.31  0.2585   20.000        -52.83  0.2808   20.000
        104.0000      -74.46  0.2541   20.000        -80.80  0.2474   20.000        -72.28  0.2564   20.000        -53.99  0.2790   20.000
        105.0000      -90.19  0.2391   20.000        -81.01  0.2473   20.000        -71.42  0.2573   20.000        -54.28  0.2785   20.000
        106.0000     -105.76  0.2270   20.000        -87.74  0.2413   20.000        -72.59  0.2561   20.000        -54.39  0.2784   20.000
        107.0000     -126.80  0.2136   20.000        -95.95  0.2341   20.000        -75.17  0.2533   20.000        -54.99  0.2775   20.000
        108.0000      -90.73  0.2388   20.000        -95.47  0.2344   20.000        -77.81  0.2504   20.000        -55.83  0.2764   20.000
        109.0000     -110.88  0.2233   20.000        -95.02  0.2348   20.000        -78.42  0.2497   20.000        -56.43  0.2756   20.000
        110.0000     -135.78  0.2084   20.000       -102.39  0.2295   20.000        -79.64  0.2485   20.000        -56.76  0.2752   20.000
        111.0000     -165.00  0.1949   20.000       -111.02  0.2232   20.000        -81.88  0.2465   20.000        -57.27  0.2746   20.000
        112.0000     -190.55  0.1856   20.000       -119.79  0.2176   20.000        -84.52  0.2441   20.000        -57.94  0.2737   20.000
        113.0000     -211.13  0.1791   20.000       -126.87  0.2135   20.000        -87.02  0.2419   20.000        -58.63  0.2728   20.000
        114.0000     -233.28  0.1729   20.000       -133.47  0.2098   20.000        -89.34  0.2399   20.000        -59.27  0.2719   20.000
        115.0000     -276.20  0.1631   20.000       -140.21  0.2061   20.000        -91.42  0.2380   20.000        -59.85  0.2712   20.000
        116.0000     -323.55  0.1544   20.000       -147.13  0.2030   20.000        -93.42  0.2362   20.000        -60.38  0.2705   20.000
        117.0000     -280.20  0.1622   20.000       -152.43  0.2006   20.000        -95.24  0.2346   20.000        -60.91  0.2698   20.000
        118.0000     -259.17  0.1668   20.000       -154.85  0.1995   20.000        -96.76  0.2335   20.000        -61.47  0.2691   20.000
        119.0000     -155.68  0.1991   20.000       -153.94  0.1999   20.000        -97.97  0.2326   20.000        -62.04  0.2683   20.000
        120.0000     -194.73  0.1841   20.000       -146.71  0.2032   20.000        -98.57  0.2322   20.000        -62.59  0.2676   20.000
        121.0000     -244.07  0.1700   20.000       -148.61  0.2023   20.000        -98.73  0.2321   20.000        -63.05  0.2670   20.000
        122.0000     -216.11  0.1777   20.000       -152.32  0.2006   20.000        -99.11  0.2318   20.000        -63.47  0.2665   20.000
        123.0000      -68.46  0.2606   20.000       -123.58  0.2155   20.000        -99.57  0.2315   20.000        -63.92  0.2659   20.000
        124.0000     -106.26  0.2266   20.000       -100.98  0.2305   20.000        -94.73  0.2351   20.000        -64.05  0.2657   20.000
        125.0000     -136.19  0.2082   20.000       -108.02  0.2254   20.000        -90.41  0.2390   20.000        -63.32  0.2667   20.000
        126.0000     -181.61  0.1888   20.000       -117.81  0.2188   20.000        -89.82  0.2394   20.000        -62.70  0.2675   20.000
        127.0000     -113.07  0.2218   20.000       -121.39  0.2167   20.000        -90.75  0.2386   20.000        -62.42  0.2678   20.000
        128.0000     -123.62  0.2154   20.000       -114.29  0.2209   20.000        -91.03  0.2384   20.000        -62.40  0.2679   20.000
        129.0000     -106.03  0.2269   20.000       -110.41  0.2237   20.000        -90.27  0.2390   20.000        -62.26  0.2680   20.000
        130.0000      -92.00  0.2375   20.000       -101.18  0.2303   20.000        -88.61  0.2405   20.000        -61.93  0.2685   20.000
        131.0000      -67.41  0.2617   20.000        -82.29  0.2461   20.000        -84.37  0.2443   20.000        -61.19  0.2694   20.000
        132.0000      -70.62  0.2582   20.000        -74.17  0.2544   20.000        -76.24  0.2521   20.000        -59.23  0.2720   20.000
        133.0000      -55.18  0.2773   20.000        -62.37  0.2679   20.000        -68.29  0.2607   20.000        -56.01  0.2762   20.000
        134.0000      -68.66  0.2603   20.000        -64.77  0.2648   20.000        -62.18  0.2682   20.000        -52.05  0.2820   20.000
        135.0000      -72.75  0.2559   20.000        -68.58  0.2604   20.000        -62.46  0.2678   20.000        -50.64  0.2842   20.000
        136.0000      -45.42  0.2922   20.000        -52.08  0.2820   20.000        -58.44  0.2730   20.000        -49.89  0.2853   20.000
        137.0000      -37.91  0.3054   20.000        -40.46  0.3009   20.000        -45.17  0.2926   20.000        -44.06  0.2945   20.000
        138.0000      -65.77  0.2635   20.000        -54.44  0.2782   20.000        -47.38  0.2891   20.000        -41.54  0.2990   20.000
        139.0000      -91.88  0.2376   20.000        -68.79  0.2602   20.000        -55.08  0.2774   20.000        -44.65  0.2935   20.000
        140.0000     -125.74  0.2142   20.000        -83.43  0.2451   20.000        -62.83  0.2673   20.000        -48.30  0.2877   20.000
        141.0000     -171.58  0.1923   20.000        -97.67  0.2328   20.000        -69.81  0.2591   20.000        -51.51  0.2828   20.000
        142.0000     -230.37  0.1737   20.000       -111.34  0.2230   20.000        -76.08  0.2523   20.000        -54.13  0.2788   20.000
        143.0000     -268.13  0.1648   20.000       -123.57  0.2155   20.000        -81.56  0.2468   20.000        -56.23  0.2759   20.000
        144.0000     -305.55  0.1574   20.000       -133.36  0.2098   20.000        -85.98  0.2428   20.000        -57.81  0.2739   20.000
        145.0000     -352.50  0.1497   20.000       -142.05  0.2053   20.000        -89.52  0.2397   20.000        -58.99  0.2723   20.000
        146.0000     -160.13  0.1971   20.000       -149.41  0.2019   20.000        -92.47  0.2371   20.000        -59.91  0.2711   20.000
        147.0000      -23.46  0.3363   20.000        -29.44  0.3227   20.000        -70.04  0.2588   20.000        -60.34  0.2706   20.000
        148.0000      -40.88  0.3001   20.000        -39.56  0.3025   20.000        -39.44  0.3028   20.000        -39.69  0.3024   20.000
        149.0000      -35.71  0.3098   20.000        -36.26  0.3087   20.000        -37.06  0.3071   20.000        -35.59  0.3100   20.000
        150.0000      -63.59  0.2663   20.000        -52.64  0.2810   20.000        -43.97  0.2947   20.000        -37.47  0.3063   20.000
        151.0000      -81.26  0.2470   20.000        -65.84  0.2634   20.000        -53.22  0.2802   20.000        -43.00  0.2964   20.000
        152.0000     -102.45  0.2294   20.000        -77.58  0.2506   20.000        -60.67  0.2701   20.000        -47.23  0.2893   20.000
        153.0000     -126.34  0.2139   20.000        -88.96  0.2402   20.000        -67.10  0.2620   20.000        -50.49  0.2844   20.000
        154.0000     -153.75  0.2000   20.000        -99.94  0.2312   20.000        -72.78  0.2559   20.000        -53.03  0.2805   20.000
        155.0000      -94.04  0.2357   20.000       -102.07  0.2297   20.000        -77.67  0.2506   20.000        -55.10  0.2774   20.000
        156.0000     -124.11  0.2151   20.000       -100.95  0.2305   20.000        -79.71  0.2484   20.000        -56.39  0.2757   20.000
        157.0000     -168.98  0.1932   20.000       -109.68  0.2242   20.000        -81.63  0.2467   20.000        -57.13  0.2747   20.000
        158.0000     -238.77  0.1714   20.000       -121.29  0.2168   20.000        -84.33  0.2443   20.000        -57.85  0.2738   20.000
        159.0000     -330.77  0.1532   20.000       -133.08  0.2100   20.000        -87.40  0.2416   20.000        -58.63  0.2728   20.000
        160.0000     -427.45  0.1401   20.000       -143.59  0.2046   20.000        -90.38  0.2389   20.000        -59.41  0.2718   20.000
        161.0000     -527.09  0.1307   20.000       -152.56  0.2005   20.000        -93.08  0.2365   20.000        -60.13  0.2708   20.000
        162.0000     -652.52  0.1218   20.000       -160.06  0.1971   20.000        -95.40  0.2345   20.000        -60.79  0.2700   20.000
        163.0000     -746.41  0.1164   20.000       -166.68  0.1941   20.000        -97.42  0.2330   20.000        -61.47  0.2691   20.000
        164.0000     -751.26  0.1162   20.000       -172.05  0.1922   20.000        -99.18  0.2317   20.000        -62.16  0.2682   20.000
        165.0000     -638.38  0.1227   20.000       -176.04  0.1908   20.000       -100.78  0.2306   20.000        -62.87  0.2673   20.000
        166.0000     -692.34  0.1195   20.000       -179.06  0.1897   20.000       -102.16  0.2296   20.000        -63.60  0.2663   20.000
        167.0000     -762.20  0.1158   20.000       -182.13  0.1886   20.000       -103.38  0.2287   20.000        -64.32  0.2654   20.000
        168.0000     -759.18  0.1159   20.000       -184.76  0.1876   20.000       -104.51  0.2279   20.000        -65.05  0.2644   20.000
        169.0000     -798.94  0.1141   20.000       -187.09  0.1868   20.000       -105.58  0.2271   20.000        -65.78  0.2635   20.000
        170.0000     -912.20  0.1093   20.000       -189.53  0.1859   20.000       -106.61  0.2264   20.000        -66.51  0.2627   20.000
        171.0000     -598.01  0.1253   20.000       -191.38  0.1853   20.000       -107.62  0.2257   20.000        -67.25  0.2619   20.000
        172.0000     -453.85  0.1375   20.000       -192.09  0.1850   20.000       -108.59  0.2250   20.000        -67.98  0.2611   20.000
        173.0000     -642.82  0.1224   20.000       -192.84  0.1848   20.000       -109.48  0.2243   20.000        -68.71  0.2603   20.000
        174.0000     -803.36  0.1139   20.000       -194.74  0.1841   20.000       -110.33  0.2237   20.000        -69.43  0.2595   20.000
        175.0000     -736.22  0.1170   20.000       -196.73  0.1834   20.000       -111.20  0.2231   20.000        -70.14  0.2587   20.000
        176.0000     -743.44  0.1166   20.000       -198.32  0.1828   20.000       -112.08  0.2225   20.000        -70.85  0.2580   20.000
        177.0000     -889.59  0.1101   20.000       -200.08  0.1822   20.000       -112.96  0.2218   20.000        -71.56  0.2572   20.000
        178.0000    -1052.73  0.1045   20.000       -202.40  0.1815   20.000       -113.86  0.2212   20.000        -72.28  0.2564   20.000
        179.0000    -1160.79  0.1015   20.000       -204.66  0.1809   20.000       -114.76  0.2205   20.000        -72.99  0.2556   20.000
        180.0000      -87.02  0.2419   20.000       -204.04  0.1810   20.000       -115.69  0.2200   20.000        -73.71  0.2549   20.000
        181.0000      -80.24  0.2480   20.000       -124.59  0.2149   20.000       -115.51  0.2201   20.000        -74.41  0.2541   20.000
        182.0000     -126.87  0.2136   20.000       -114.09  0.2211   20.000       -109.10  0.2246   20.000        -74.64  0.2538   20.000
        183.0000      -87.46  0.2416   20.000       -109.01  0.2247   20.000       -103.18  0.2289   20.000        -74.08  0.2544   20.000
        184.0000     -137.00  0.2078   20.000       -109.05  0.2247   20.000        -98.39  0.2323   20.000        -73.07  0.2555   20.000
        185.0000     -187.99  0.1865   20.000       -121.30  0.2168   20.000        -96.95  0.2334   20.000        -72.06  0.2566   20.000
        186.0000     -219.60  0.1767   20.000       -132.72  0.2102   20.000        -97.95  0.2326   20.000        -71.49  0.2573   20.000
        187.0000     -293.39  0.1595   20.000       -142.97  0.2049   20.000       -100.02  0.2311   20.000        -71.46  0.2573   20.000
        188.0000     -349.08  0.1502   20.000       -152.76  0.2004   20.000       -102.35  0.2295   20.000        -71.73  0.2570   20.000
        189.0000      -53.99  0.2790   20.000       -120.35  0.2173   20.000       -104.58  0.2279   20.000        -72.17  0.2565   20.000
        190.0000      -77.23  0.2510   20.000        -83.98  0.2447   20.000        -96.42  0.2337   20.000        -72.20  0.2565   20.000
        191.0000      -62.40  0.2679   20.000        -73.23  0.2554   20.000        -84.52  0.2441   20.000        -69.93  0.2589   20.000
        192.0000      -76.69  0.2516   20.000        -73.96  0.2546   20.000        -75.48  0.2530   20.000        -65.79  0.2634   20.000
        193.0000      -97.27  0.2331   20.000        -82.38  0.2461   20.000        -73.86  0.2547   20.000        -62.18  0.2682   20.000
        194.0000     -122.81  0.2159   20.000        -92.98  0.2366   20.000        -76.36  0.2520   20.000        -60.72  0.2701   20.000
        195.0000     -104.42  0.2280   20.000        -98.29  0.2324   20.000        -79.54  0.2486   20.000        -60.28  0.2706   20.000
        196.0000     -146.30  0.2034   20.000       -104.28  0.2281   20.000        -81.73  0.2466   20.000        -60.12  0.2708   20.000
        197.0000     -203.50  0.1812   20.000       -115.80  0.2199   20.000        -84.38  0.2443   20.000        -60.08  0.2709   20.000
        198.0000     -225.06  0.1752   20.000       -127.47  0.2132   20.000        -87.38  0.2416   20.000        -60.22  0.2707   20.000
        199.0000     -296.93  0.1589   20.000       -136.79  0.2079   20.000        -90.27  0.2390   20.000        -60.56  0.2703   20.000
        200.0000     -386.62  0.1453   20.000       -146.17  0.2034   20.000        -92.83  0.2368   20.000        -61.01  0.2697   20.000
        201.0000     -431.75  0.1397   20.000       -154.32  0.1997   20.000        -95.16  0.2347   20.000        -61.53  0.2690   20.000
        202.0000     -109.06  0.2247   20.000       -155.61  0.1991   20.000        -97.20  0.2332   20.000        -62.12  0.2682   20.000
        203.0000      -85.93  0.2429   20.000       -115.83  0.2199   20.000        -97.53  0.2329   20.000        -62.69  0.2675   20.000
        204.0000      -96.21  0.2339   20.000       -101.51  0.2301   20.000        -93.00  0.2366   20.000        -62.77  0.2674   20.000
        205.0000     -142.16  0.2052   20.000       -107.13  0.2261   20.000        -88.96  0.2402   20.000        -62.07  0.2683   20.000
        206.0000     -200.00  0.1822   20.000       -118.72  0.2182   20.000        -88.73  0.2404   20.000        -61.49  0.2691   20.000
        207.0000     -266.85  0.1651   20.000       -130.52  0.2115   20.000        -90.18  0.2391   20.000        -61.32  0.2693   20.000
        208.0000     -307.07  0.1572   20.000       -140.56  0.2060   20.000        -92.34  0.2372   20.000        -61.51  0.2690   20.000
        209.0000     -359.39  0.1488   20.000       -148.84  0.2022   20.000        -94.55  0.2352   20.000        -61.91  0.2685   20.000
        210.0000      -47.59  0.2888   20.000       -109.53  0.2243   20.000        -96.51  0.2337   20.000        -62.42  0.2678   20.000
        211.0000      -25.66  0.3310   20.000        -28.99  0.3236   20.000        -47.97  0.2883   20.000        -59.01  0.2723   20.000
        212.0000      -38.09  0.3051   20.000        -37.26  0.3067   20.000        -36.34  0.3085   20.000        -35.62  0.3099   20.000
        213.0000      -76.55  0.2517   20.000        -56.73  0.2753   20.000        -45.53  0.2920   20.000        -38.37  0.3047   20.000
        214.0000      -69.97  0.2589   20.000        -65.15  0.2643   20.000        -54.77  0.2778   20.000        -44.02  0.2946   20.000
        215.0000      -19.47  0.3460   20.000        -20.06  0.3445   20.000        -23.20  0.3369   20.000        -30.11  0.3213   20.000
        216.0000      -56.22  0.2759   20.000        -46.27  0.2908   20.000        -37.56  0.3060   20.000        -31.65  0.3178   20.000
        217.0000      -44.63  0.2935   20.000        -45.47  0.2921   20.000        -44.18  0.2943   20.000        -38.59  0.3042   20.000
        218.0000      -78.25  0.2499   20.000        -60.45  0.2704   20.000        -49.90  0.2853   20.000        -41.72  0.2987   20.000
        219.0000      -98.96  0.2319   20.000        -74.31  0.2542   20.000        -58.02  0.2736   20.000        -45.84  0.2915   20.000
        220.0000     -129.44  0.2121   20.000        -86.95  0.2420   20.000        -65.22  0.2642   20.000        -49.46  0.2859   20.000
